Date,AAPL,MSFT,TSLA
2022-01-03,178.10366821289062,323.16082763671875,399.9266662597656
2022-01-04,175.84323120117188,317.61956787109375,383.1966552734375
2022-01-05,171.1658477783203,305.4267578125,362.7066650390625
2022-01-06,168.30850219726562,303.0133361816406,354.8999938964844
2022-01-07,168.47486877441406,303.1678466796875,342.32000732421875
2022-01-10,168.49441528320312,303.3898620605469,352.7066650390625
2022-01-11,171.32240295410156,304.07525634765625,354.79998779296875
2022-01-12,171.76275634765625,307.25128173828125,368.739990234375
2022-01-13,168.49441528320312,294.2476806640625,343.85333251953125
2022-01-14,169.35557556152344,299.4606628417969,349.8699951171875
2022-01-18,166.1557159423828,292.1720886230469,343.5033264160156
2022-01-19,162.662353515625,292.82855224609375,331.8833312988281
2022-01-20,160.97927856445312,291.15850830078125,332.0899963378906
2022-01-21,158.92431640625,285.78131103515625,314.6333312988281
2022-01-24,158.15126037597656,286.1095275878906,310.0
2022-01-25,156.3507537841797,278.5022888183594,306.1333312988281
2022-01-26,156.26271057128906,286.437744140625,312.4700012207031
2022-01-27,155.8027801513672,289.4593200683594,276.3666687011719
2022-01-28,166.67434692382812,297.587890625,282.1166687011719
2022-01-31,171.0288543701172,300.21368408203125,312.239990234375
2022-02-01,170.8624725341797,298.0705871582031,310.4166564941406
2022-02-02,172.0660858154297,302.6078796386719,301.88665771484375
2022-02-03,169.18917846679688,290.8205261230469,297.0466613769531
2022-02-04,168.9050750732422,295.3482360839844,307.7733459472656
2022-02-07,168.18984985351562,290.5309753417969,302.4466552734375
2022-02-08,171.2957305908203,294.0160217285156,307.3333435058594
2022-02-09,172.71644592285156,300.43572998046875,310.6666564941406
2022-02-10,168.6405029296875,291.91143798828125,301.51666259765625
2022-02-11,165.23085021972656,284.8255615234375,286.6666564941406
2022-02-14,165.4660186767578,284.7868957519531,291.9200134277344
2022-02-15,169.2969512939453,290.06756591796875,307.4766540527344
2022-02-16,169.0618133544922,289.72900390625,307.7966613769531
2022-02-17,165.4660186767578,281.24517822265625,292.1166687011719
2022-02-18,163.91795349121094,278.5364074707031,285.6600036621094
2022-02-22,160.99818420410156,278.3332824707031,273.84332275390625
2022-02-23,156.83409118652344,271.1263732910156,254.67999267578125
2022-02-24,159.45016479492188,284.97918701171875,266.92333984375
2022-02-25,161.51748657226562,287.6104736328125,269.9566650390625
2022-02-28,161.78201293945312,289.04217529296875,290.1433410644531
2022-03-01,159.90081787109375,285.3274230957031,288.1233215332031
2022-03-02,163.19290161132812,290.396484375,293.2966613769531
2022-03-03,162.86959838867188,286.26580810546875,279.7633361816406
2022-03-04,159.8714141845703,280.4035339355469,279.42999267578125
2022-03-07,156.07965087890625,269.81072998046875,268.1933288574219
2022-03-08,154.25726318359375,266.85052490234375,274.79998779296875
2022-03-09,159.6558837890625,279.0878601074219,286.3233337402344
2022-03-10,155.31544494628906,276.27288818359375,279.4333190917969
2022-03-11,151.60205078125,270.93292236328125,265.1166687011719
2022-03-14,147.5751495361328,267.4213562011719,255.4566650390625
2022-03-15,151.9547576904297,277.7818603515625,267.2966613769531
2022-03-16,156.36383056640625,284.7857360839844,280.07666015625
2022-03-17,157.37298583984375,285.5886535644531,290.5333251953125
2022-03-18,160.66505432128906,290.6286926269531,301.7966613769531
2022-03-21,162.03677368164062,289.4000549316406,307.0533447265625
2022-03-22,165.40724182128906,294.1402587890625,331.32666015625
2022-03-23,166.76913452148438,289.7193298339844,333.03668212890625
2022-03-24,170.5511016845703,294.1789245605469,337.97332763671875
2022-03-25,171.1879425048828,293.7726135253906,336.8800048828125
2022-03-28,172.05014038085938,300.5635986328125,363.9466552734375
2022-03-29,175.34222412109375,305.1199645996094,366.5233459472656
2022-03-30,174.1763153076172,303.62054443359375,364.663330078125
2022-03-31,171.08016967773438,298.25164794921875,359.20001220703125
2022-04-01,170.7862548828125,299.32550048828125,361.5299987792969
2022-04-04,174.83279418945312,304.69427490234375,381.8166809082031
2022-04-05,171.5210723876953,300.7377014160156,363.7533264160156
2022-04-06,168.3563232421875,289.72900390625,348.586669921875
2022-04-07,168.66009521484375,291.5379943847656,352.4200134277344
2022-04-08,166.6515655517578,287.2815856933594,341.8299865722656
2022-04-11,162.3992919921875,275.9535217285156,325.30999755859375
2022-04-12,164.27066040039062,272.85797119140625,328.98333740234375
2022-04-13,166.95526123046875,278.2365417480469,340.7900085449219
2022-04-14,161.94859313964844,270.70068359375,328.3333435058594
2022-04-18,161.7330322265625,271.36822509765625,334.7633361816406
2022-04-19,164.01593017578125,275.9922790527344,342.7166748046875
2022-04-20,163.849365234375,277.0177001953125,325.73333740234375
2022-04-21,163.05572509765625,271.6488037109375,336.260009765625
2022-04-22,158.51931762695312,265.0899353027344,335.01666259765625
2022-04-25,159.5872802734375,271.56170654296875,332.67333984375
2022-04-26,153.63021850585938,261.4042053222656,292.1400146484375
2022-04-27,153.40489196777344,273.9801330566406,293.836669921875
2022-04-28,160.33193969726562,280.1810302734375,292.5033264160156
2022-04-29,154.4630126953125,268.4661560058594,290.2533264160156
2022-05-02,154.76678466796875,275.1893615722656,300.9800109863281
2022-05-03,156.25601196289062,272.5871276855469,303.0833435058594
2022-05-04,162.66384887695312,280.5196533203125,317.5400085449219
2022-05-05,153.600830078125,268.3016662597656,291.09332275390625
2022-05-06,154.3269500732422,265.76708984375,288.54998779296875
2022-05-09,149.20492553710938,255.94822692871094,262.3699951171875
2022-05-10,151.60891723632812,260.7077331542969,266.67999267578125
2022-05-11,143.7493133544922,252.04974365234375,244.6666717529297
2022-05-12,139.88327026367188,247.0193634033203,242.6666717529297
2022-05-13,144.34788513183594,252.60108947753906,256.5299987792969
2022-05-16,142.807373046875,252.96873474121094,241.4566650390625
2022-05-17,146.4378662109375,258.1151428222656,253.8699951171875
2022-05-18,138.17599487304688,246.36326599121094,236.60333251953125
2022-05-19,134.77113342285156,245.45181274414062,236.47332763671875
2022-05-20,135.00660705566406,244.88941955566406,221.3000030517578
2022-05-23,140.42298889160156,252.73370361328125,224.96665954589844
2022-05-24,137.72459411621094,251.73501586914062,209.3866729736328
2022-05-25,137.88162231445312,254.54693603515625,219.60000610351562
2022-05-26,141.08038330078125,257.8241882324219,235.91000366210938
2022-05-27,146.8303680419922,264.94134521484375,253.2100067138672
2022-05-31,146.0453643798828,263.61297607421875,252.75332641601562
2022-06-01,145.91783142089844,264.1462707519531,246.7899932861328
2022-06-02,148.37088012695312,266.2406921386719,258.3333435058594
2022-06-03,142.650390625,261.81915283203125,234.51666259765625
2022-06-06,143.39605712890625,260.58770751953125,238.27999877929688
2022-06-07,145.91783142089844,264.2238464355469,238.8866729736328
